CVEGEO	ola	defunciones	casos_totales	cfr
07101	05_ola_3	186	4628	4.0190146931719966
07101	06_interola_3	3	89	3.3707865168539324
07101	07_ola_4	36	4490	0.8017817371937639
07102	01_ola_1	6	46	13.043478260869565
07102	02_interola_1	0	11	0
07102	03_ola_2	2	15	13.333333333333334
07102	04_interola_2	1	15	6.666666666666667
07102	05_ola_3	4	82	4.878048780487805
07102	06_interola_3	1	4	25
07102	07_ola_4	0	137	0
07103	01_ola_1	10	25	40
07103	02_interola_1	0	0	NA
07103	03_ola_2	1	3	33.333333333333336
07103	04_interola_2	1	3	33.333333333333336
07103	05_ola_3	6	60	10
07103	06_interola_3	1	1	100
07103	07_ola_4	1	27	3.7037037037037037
07104	01_ola_1	2	10	20
07104	02_interola_1	0	1	0
07104	03_ola_2	0	1	0
07104	04_interola_2	0	1	0
07104	05_ola_3	0	7	0
07104	06_interola_3	0	0	NA
07104	07_ola_4	1	34	2.9411764705882355
07105	01_ola_1	1	9	11.11111111111111
07105	02_interola_1	0	0	NA
07105	03_ola_2	2	4	50
07105	04_interola_2	1	5	20
07105	05_ola_3	2	9	22.22222222222222
07105	06_interola_3	0	1	0
07105	07_ola_4	0	49	0
07106	01_ola_1	22	87	25.28735632183908
07106	02_interola_1	1	1	100
07106	03_ola_2	4	30	13.333333333333334
07106	04_interola_2	1	10	10
07106	05_ola_3	3	60	5
07106	06_interola_3	0	2	0
07106	07_ola_4	2	48	4.166666666666667
07107	01_ola_1	4	26	15.384615384615385
07107	02_interola_1	0	3	0
07107	03_ola_2	0	12	0
07107	04_interola_2	0	2	0
07107	05_ola_3	1	52	1.9230769230769231
07107	06_interola_3	1	4	25
07107	07_ola_4	0	84	0
07108	01_ola_1	6	65	9.23076923076923
07108	02_interola_1	1	4	25
07108	03_ola_2	3	28	10.714285714285714
07108	04_interola_2	0	3	0
07108	05_ola_3	7	253	2.766798418972332
07108	06_interola_3	0	6	0
07108	07_ola_4	1	375	0.26666666666666666
07109	01_ola_1	3	28	10.714285714285714
07109	02_interola_1	0	1	0
07109	03_ola_2	0	3	0
07109	04_interola_2	0	0	NA
07109	05_ola_3	0	3	0
07109	06_interola_3	0	0	NA
07109	07_ola_4	0	78	0
07110	01_ola_1	1	2	50
07110	02_interola_1	0	0	NA
07110	03_ola_2	0	2	0
07110	04_interola_2	0	0	NA
07110	05_ola_3	1	5	20
07110	06_interola_3	0	0	NA
07110	07_ola_4	0	7	0
07111	01_ola_1	0	3	0
07111	02_interola_1	0	1	0
07111	03_ola_2	0	1	0
07111	04_interola_2	0	0	NA
07111	05_ola_3	0	7	0
07111	06_interola_3	0	0	NA
07111	07_ola_4	0	44	0
07112	01_ola_1	0	0	NA
07112	02_interola_1	0	0	NA
07112	03_ola_2	0	3	0
07112	04_interola_2	0	0	NA
07112	05_ola_3	0	8	0
07112	06_interola_3	0	1	0
07112	07_ola_4	0	22	0
