CVEGEO	ola	dias_ola	n	pruebas_dia_promedio
03001	05_ola_3	126	3869	30.706349206349206
03001	06_interola_3	56	1673	29.875
03001	07_ola_4	119	7091	59.588235294117645
03002	01_ola_1	105	257	2.447619047619048
03002	02_interola_1	77	1131	14.688311688311689
03002	03_ola_2	154	3003	19.5
03002	04_interola_2	77	1142	14.831168831168831
03002	05_ola_3	126	2350	18.650793650793652
03002	06_interola_3	56	1919	34.267857142857146
03002	07_ola_4	119	8049	67.63865546218487
03003	01_ola_1	105	1563	14.885714285714286
03003	02_interola_1	77	7082	91.97402597402598
03003	03_ola_2	154	17939	116.48701298701299
03003	04_interola_2	77	9361	121.57142857142857
03003	05_ola_3	126	20282	160.96825396825398
03003	06_interola_3	56	5209	93.01785714285714
03003	07_ola_4	119	44773	376.2436974789916
03008	01_ola_1	105	1098	10.457142857142857
03008	02_interola_1	77	3593	46.66233766233766
03008	03_ola_2	154	20371	132.2792207792208
03008	04_interola_2	77	8146	105.79220779220779
03008	05_ola_3	126	26746	212.26984126984127
03008	06_interola_3	56	6829	121.94642857142857
03008	07_ola_4	119	37070	311.5126050420168
03009	01_ola_1	105	154	1.4666666666666666
03009	02_interola_1	77	590	7.662337662337662
03009	03_ola_2	154	1661	10.785714285714286
03009	04_interola_2	77	463	6.012987012987013
03009	05_ola_3	126	2027	16.08730158730159
03009	06_interola_3	56	790	14.107142857142858
03009	07_ola_4	119	2680	22.521008403361346
03999	01_ola_1	105	1	0.009523809523809525
03999	02_interola_1	77	1	0.012987012987012988
03999	05_ola_3	126	1	0.007936507936507936
03999	07_ola_4	119	3	0.025210084033613446
04001	01_ola_1	105	55	0.5238095238095238
04001	02_interola_1	77	297	3.857142857142857
04001	03_ola_2	154	146	0.948051948051948
04001	04_interola_2	77	45	0.5844155844155844
04001	05_ola_3	126	405	3.2142857142857144
04001	06_interola_3	56	319	5.696428571428571
04001	07_ola_4	119	616	5.176470588235294
04002	01_ola_1	105	794	7.561904761904762
04002	02_interola_1	77	3784	49.142857142857146
04002	03_ola_2	154	6348	41.22077922077922
04002	04_interola_2	77	4519	58.688311688311686
04002	05_ola_3	126	13626	108.14285714285714
04002	06_interola_3	56	5332	95.21428571428571
04002	07_ola_4	119	9357	78.63025210084034
04003	01_ola_1	105	1066	10.152380952380952
04003	02_interola_1	77	2175	28.246753246753247
04003	03_ola_2	154	2980	19.350649350649352
