CVEGEO	beds_PAFIL_IPRIV	beds_PAFIL_PDOM	beds_PDER_IMSS	beds_PDER_IMSSB	beds_PDER_ISTE	beds_PDER_SEGP	clinics_PAFIL_IPRIV	clinics_PAFIL_PDOM	clinics_PDER_IMSS	clinics_PDER_IMSSB	clinics_PDER_ISTE	clinics_PDER_SEGP	derechohabientes_PAFIL_IPRIV	derechohabientes_PAFIL_PDOM	derechohabientes_PDER_IMSS	derechohabientes_PDER_IMSSB	derechohabientes_PDER_ISTE	derechohabientes_PDER_SEGP	POBTOT
13048	0	0	0	0	0	0	0	0	14	4	2	0	3790	3088	124587	1254	39105	57615	344191
13049	0	0	0	52	10	0	0	0	4	42	11	0	679	227	14665	10325	11789	158968	225290
13050	0	0	0	0	0	0	0	0	5	8	13	0	226	373	12810	396	9222	49230	102927
13051	0	0	437	0	82	0	0	0	192	8	44	0	7901	3044	138706	1543	55112	61115	402846
13052	0	0	437	0	82	0	0	0	193	6	47	0	7321	3973	151994	1560	55571	111819	512481
13053	0	0	0	55	0	0	0	0	0	50	2	0	176	418	6924	4921	4794	90608	132264
13054	0	0	0	51	11	0	0	0	11	24	33	0	1224	1179	40793	1413	32053	137075	322877
13055	0	0	0	51	11	0	0	0	6	25	19	0	589	316	25049	1331	20422	106072	236845
13056	0	0	39	0	0	0	0	0	37	8	11	0	1416	515	52954	1132	12018	68346	243932
13057	0	0	79	0	0	0	0	0	65	25	12	0	4044	1417	125771	1806	25961	119679	459070
13058	0	0	0	51	11	0	0	0	2	29	17	0	554	698	20949	1544	12404	90650	195753
13059	0	0	0	0	0	0	0	0	21	18	9	0	2010	860	63405	2069	12316	135757	310372
13060	0	0	0	55	0	0	0	0	0	38	1	0	149	239	3325	1986	2392	68350	94808
13061	0	0	6	0	0	0	0	0	8	9	1	0	1035	1005	44711	1202	5525	62153	177660
13062	0	0	0	52	10	0	0	0	4	48	10	0	571	238	13161	8387	10342	98886	157897
13063	0	12	39	0	0	0	0	25	45	4	6	0	5795	17595	238268	2312	17889	153471	629746
13064	0	12	33	0	0	0	0	25	31	4	3	0	1997	8438	55717	645	7476	55853	183208
13065	0	0	0	0	0	0	0	28	9	4	14	0	536	6670	29967	572	8495	53071	145312
13066	0	0	0	0	0	0	0	0	0	4	1	0	1793	2361	47981	641	10834	46020	173432
13067	0	12	33	0	0	0	0	25	40	10	16	0	2244	9213	67448	891	12518	84888	252728
13068	0	0	0	43	0	0	0	0	0	33	3	0	298	309	11534	1130	5150	56373	99371
13069	0	0	254	0	0	0	0	0	70	0	4	0	9776	14182	360927	3151	69411	130359	939670
13070	0	0	0	0	0	0	0	0	9	3	15	0	459	1481	23964	396	10111	59661	142750
13071	0	0	0	0	0	0	0	0	0	31	3	0	747	164	5166	1114	4849	70185	96106
13072	0	0	40	0	0	0	0	0	26	10	1	0	2098	890	56809	1005	10653	41381	168772
13073	0	0	0	111	36	0	0	0	4	69	28	0	1764	1729	33893	10999	27336	169311	298700
13074	0	12	33	0	0	0	0	53	31	3	3	0	2360	14122	69913	926	9137	68352	232601
13075	0	0	24	0	0	0	0	0	41	0	2	0	2430	5580	107130	1040	15980	70297	332018
13076	0	0	33	0	0	0	0	28	42	5	8	0	2205	10191	130464	1448	14149	114350	394092
13077	0	0	6	55	0	0	0	0	7	33	0	0	1064	306	29512	2668	5428	78564	196535
13078	0	0	0	48	0	0	0	0	0	58	3	0	748	1164	19330	9035	8706	103469	163158
13079	0	0	0	40	0	0	0	0	0	41	4	0	350	281	13049	1117	7241	57452	110659
13080	0	0	0	7	0	0	0	0	0	27	1	0	184	396	7243	2348	4735	65891	94705
13081	0	0	0	0	0	0	0	0	0	36	3	0	258	121	7558	2309	3963	64119	101583
13082	0	0	437	0	82	0	0	0	187	6	43	0	8174	3465	147862	1613	56531	74912	445522
13083	0	0	437	0	82	0	0	0	196	7	44	0	9435	5223	222495	2372	77425	109762	633574
13084	0	0	0	51	11	0	0	0	6	34	20	0	486	213	22864	1535	15282	134249	246483
14001	0	0	73	0	0	0	0	0	40	1	3	0	5222	59	97069	447	4568	43139	232816
14002	0	0	350	0	0	0	0	0	97	0	3	0	23859	1580	533434	1567	15236	75072	912080
14003	0	0	1	0	0	0	0	0	13	0	8	0	1561	1153	62683	642	7169	47657	160320
14004	0	0	0	0	0	0	0	0	3	0	5	0	582	1158	21909	447	2300	23777	71192
14005	0	53	164	0	204	0	0	31	127	0	74	0	116355	9679	842450	3579	44532	109788	1575236
14006	0	0	4	0	0	0	0	0	8	4	10	0	1411	117	38922	506	6902	42855	117366
14007	0	0	4	0	0	0	0	0	10	0	9	0	1297	143	42855	517	4859	33271	109775
14008	0	0	78	0	0	0	0	0	68	2	9	0	7890	122	155676	987	8455	120675	433282
14009	0	53	232	0	204	0	0	31	144	0	69	0	115458	9563	867701	3545	43486	101153	1590318
14010	0	0	13	0	0	0	0	0	20	0	7	0	1188	128	38578	167	3468	46343	126705
14011	0	0	0	0	0	0	0	0	2	0	6	0	687	35	8374	51	1565	25870	46765
14012	0	0	0	0	0	0	0	0	2	0	3	0	569	21	5546	33	1522	24630	40851
14013	0	0	139	0	0	0	0	0	76	1	11	0	7922	515	204199	869	12650	93337	469911
14014	0	0	0	0	0	0	0	0	5	1	4	0	1441	1289	35635	511	3990	40330	111277
14015	0	0	6	0	0	0	0	0	11	0	18	0	994	84	28762	305	3926	52586	108302
14016	0	0	8	0	0	0	0	0	15	4	12	0	4063	156	80722	2018	9358	87084	300600
14017	0	0	34	0	0	0	0	0	24	0	24	0	1144	787	41803	309	7729	62483	141416
14018	0	0	68	0	0	0	0	0	44	7	8	0	2798	1391	109865	1802	7160	71496	284702
14019	0	0	0	0	0	0	0	0	3	10	2	0	842	28	3094	1472	861	35339	47692
14020	0	7	92	0	11	0	0	13	66	1	31	0	7188	1876	177685	492	10934	61132	343152
14021	0	0	34	0	0	0	0	0	25	0	21	0	878	514	38457	308	5795	50576	117862
14022	0	22	128	0	20	0	0	15	62	0	21	0	2099	7980	117956	1403	9630	57075	232659
14023	0	0	35	0	0	0	0	0	21	3	10	0	1186	1288	83822	863	5388	48275	180351
14024	0	0	13	0	0	0	0	0	16	0	3	0	718	30	21884	51	3359	23834	71526
14025	0	0	0	22	0	0	0	0	5	19	4	0	388	73	9796	989	1844	30610	57881
14026	0	0	15	0	0	0	0	0	13	1	5	0	654	91	33686	425	2505	37435	99958
14027	0	22	168	0	20	0	0	15	98	0	37	0	3324	8840	175722	1627	15245	98215	366839
14028	0	0	0	0	0	0	0	0	3	0	10	0	909	329	10396	117	3114	44422	73968
14029	0	0	73	0	0	0	0	0	43	3	4	0	6063	80	111931	609	6506	59768	285560
14030	0	0	0	0	0	0	0	0	12	0	4	0	2017	285	102055	804	6550	49204	248327
14031	0	0	11	0	0	0	0	0	6	5	2	0	529	14	5267	192	1025	21166	34934
14032	0	0	0	0	0	0	0	0	2	0	4	0	552	29	12942	125	1535	23208	59082
14033	0	0	37	0	0	0	0	0	30	4	17	0	2409	253	85730	1759	16576	135487	354287
14034	0	0	0	0	0	0	0	0	2	0	9	0	567	59	19248	229	2814	31229	69867
14035	0	30	400	0	82	0	0	2	310	1	69	0	28852	2706	706112	1745	72886	181965	1233462
14036	0	0	5	0	0	0	0	0	11	4	8	0	1123	1115	47254	168	7650	47073	130557
14037	0	0	34	0	0	0	0	0	23	0	16	0	751	461	37172	204	5156	31120	91561
14038	0	0	1	0	0	0	0	0	7	4	6	0	806	1043	27543	149	5614	40145	95097
14039	0	53	160	0	204	0	0	38	207	0	73	0	134645	11316	1525152	5864	69389	193492	2818802
14040	0	0	0	0	0	0	0	0	8	13	7	0	1116	126	32435	1667	5483	40516	109152
14041	0	0	0	0	0	0	0	0	4	8	2	0	199	48	5935	173	2368	20599	38377
14042	0	0	0	0	0	0	0	0	2	4	3	0	861	60	4501	565	2324	39506	54544
14043	0	0	6	0	0	0	0	0	12	0	18	0	1157	753	27824	195	5113	65780	126676
14044	0	0	270	0	0	0	0	0	65	0	3	0	26380	1455	493354	1618	14114	63965	860906
14045	0	192	2501	0	204	0	0	113	873	2	176	0	157030	11478	1628418	6043	81683	190484	2954651
14046	0	0	0	0	0	0	0	0	12	0	7	0	2367	59	46883	494	2945	50119	155049
14047	0	0	66	0	0	0	0	0	38	3	7	0	2444	621	107653	631	7570	53190	239327
14048	0	0	3	0	0	0	0	0	15	0	9	0	4115	255	97738	1671	13401	186413	423429
14049	0	0	21	30	0	0	0	0	14	17	7	0	1890	243	34791	1985	3735	52895	156476
14050	0	0	270	0	0	0	0	0	74	0	5	0	26388	1522	527021	1433	17283	76945	924378
14051	0	0	281	0	0	0	0	0	122	0	6	0	36144	2827	952756	2882	31226	133901	1737765
14052	0	0	0	0	0	0	0	0	1	0	2	0	511	28	6488	28	1195	17084	31869
14053	0	30	1296	0	155	0	0	2	813	2	148	0	70608	3694	1584476	5759	142149	585415	3015160
14054	0	0	0	0	0	0	0	0	2	0	4	0	379	26	13041	194	1250	15992	39344
14055	0	0	0	0	0	0	0	0	7	3	7	0	1155	188	37079	1092	6245	40360	115619
14056	0	0	51	0	0	0	0	0	36	13	7	0	2345	88	55559	1393	5155	69186	203112
14057	0	0	0	0	0	0	0	0	2	1	4	0	937	27	8334	185	2261	23625	63820
14058	0	7	92	0	11	0	0	13	65	1	28	0	7111	1596	173821	432	9230	50374	323935
14059	0	0	15	0	0	0	0	0	10	1	4	0	988	36	21239	314	1753	24388	69522
14060	0	0	0	0	0	0	0	0	9	3	5	0	983	26	15690	493	4564	48466	99508
14061	0	0	11	0	0	0	0	0	3	39	6	0	776	107	8996	9603	3853	82709	124996
14062	0	0	1	0	0	0	0	0	8	0	8	0	1192	1042	31230	130	5629	43494	105414
14063	0	0	8	0	0	0	0	0	14	1	7	0	3150	1218	84634	801	7476	77676	253351
14064	0	0	72	36	0	0	0	0	47	23	15	0	1775	155	137635	1873	12846	131757	362941
14065	0	30	120	18	46	0	0	2	77	16	41	0	4426	1880	121847	2059	18881	69775	266944
14066	0	0	68	0	0	0	0	0	39	6	7	0	4217	1411	102225	504	6797	57386	262199
14067	0	0	164	0	0	0	0	0	69	3	5	0	4116	368	109410	444	7642	47197	233106
14068	0	0	40	0	0	0	0	0	35	0	26	0	1381	794	51620	363	7699	68058	157933
14069	0	0	0	0	0	0	0	0	3	6	5	0	1247	45	12279	638	4444	24721	78305
14070	0	0	265	0	0	0	0	7	142	0	4	0	41629	3251	1172093	3386	38318	126631	2015645
14071	0	53	160	0	204	0	0	31	123	0	71	0	115520	9479	818220	3579	43097	110918	1547122
14072	0	0	0	0	0	0	0	0	11	0	4	0	3377	42	61199	251	4332	67294	200312
14073	0	0	72	0	0	0	0	0	61	2	23	0	4439	146	147842	675	9963	89702	365785
14074	0	0	0	0	0	0	0	0	14	0	7	0	3086	64	71564	515	4135	56009	211482
14075	0	0	0	0	0	0	0	0	5	7	7	0	844	108	21226	1003	6445	35489	82627
14076	0	0	11	0	0	0	0	0	6	11	4	0	918	74	21161	1190	1491	28410	72878
14077	0	0	86	0	0	0	0	0	47	0	8	0	1630	1176	110403	222	7276	50719	222656
14078	0	0	73	0	0	0	0	0	61	1	11	0	7800	95	153362	886	7569	76997	377467
14079	0	0	105	0	11	0	0	0	38	1	24	0	3405	1287	101473	715	11770	45975	206305
14080	0	7	262	0	11	0	0	13	143	17	34	0	10979	2026	305201	1947	23319	105895	610169
14081	0	0	0	22	0	0	0	0	1	18	4	0	506	83	12225	1114	3502	30415	63657
14082	0	0	90	0	11	0	0	0	31	2	22	0	2759	199	88249	356	10229	37393	183797
14083	0	53	438	0	204	0	0	31	195	0	71	0	138865	10984	1287839	4606	56671	152086	2307418
14084	0	7	92	0	11	0	0	13	66	1	34	0	7580	1878	181334	513	11814	70253	359888
14085	0	0	102	0	11	0	0	0	37	3	22	0	3637	394	102111	342	11090	49362	219758
14086	0	0	0	0	0	0	0	0	3	0	5	0	961	1164	26691	405	2694	30254	83251
14087	0	0	41	18	0	0	0	0	23	18	11	0	1381	493	62978	1909	4984	55658	174704
14088	0	0	1	0	0	0	0	0	10	0	7	0	1313	1089	45847	194	7454	56910	153569
14089	0	0	0	0	0	0	0	0	2	0	3	0	483	106	16211	164	1839	26796	73907
14090	0	0	0	0	0	0	0	0	2	0	9	0	649	32	11444	44	2272	29451	56396
14091	0	30	328	0	82	0	0	2	276	7	65	0	29089	2856	640017	2219	72417	211686	1199450
14092	0	0	0	0	0	0	0	0	3	0	2	0	1246	116	25748	511	2592	34039	99302
14093	0	0	5	0	0	0	0	0	33	1	11	0	5325	116	102961	775	8527	103527	353319
14094	0	53	164	0	204	0	0	31	129	12	73	0	115992	9574	830223	4750	45499	137788	1589506
14095	0	0	77	0	0	0	0	0	37	0	8	0	2059	1388	120009	269	9567	44339	237413
14096	0	0	5	0	0	0	0	0	9	2	4	0	3620	192	44016	310	3448	34287	144192
14097	0	53	243	0	204	0	0	38	206	0	76	0	132111	11020	1484799	5470	62949	175063	2655339
14098	0	192	2777	0	204	0	0	113	977	0	176	0	187310	14136	2486742	8371	105799	259825	4392635
14099	0	0	0	0	0	0	0	0	3	0	6	0	680	84	24384	144	2536	37784	79758
14100	0	0	0	0	0	0	0	0	4	0	12	0	968	68	13010	148	2197	43456	75544
14101	0	139	2352	0	0	0	0	89	808	0	111	0	57702	3465	1392282	3954	55323	142921	2401269
14102	0	0	0	0	0	0	0	0	2	0	4	0	530	30	15944	174	1007	21617	56607
14103	0	0	14	0	0	0	0	0	9	1	2	0	761	157	42422	210	4563	31816	97912
14104	0	0	0	27	0	0	0	0	4	18	5	0	302	904	12347	1199	3898	32470	69192
14105	0	0	141	0	0	0	0	0	77	2	7	0	7117	492	188987	853	8564	71730	404334
14106	0	0	34	0	0	0	0	0	26	0	20	0	951	506	55760	490	6516	55030	148317
14107	0	0	5	0	0	0	0	0	10	0	4	0	3992	103	36539	650	3558	40439	146531
14108	0	0	108	0	11	0	0	0	43	2	23	0	3449	450	129815	366	13613	60387	261452
14109	0	0	1040	0	73	0	0	0	593	1	100	0	46864	1155	1076002	4349	75801	398308	2074091
14110	0	0	34	0	0	0	0	0	26	0	17	0	1010	494	42947	407	5545	39570	113014
14111	0	0	73	0	0	0	0	0	43	1	8	0	5246	50	103471	486	5695	51087	241615
14112	0	0	15	0	0	0	0	0	11	1	6	0	657	32	22137	306	2035	27550	76530
