CVEGEO	POBFEM	POB0_14	POB15_64	POB65_MAS
01001	51.30897058978493	25.351478940768608	67.39080496106386	7.159295672241014
01002	50.98377832971127	31.562402980440858	61.935346165787024	6.463443030114871
01003	50.96480686695279	28.703862660944207	61.5519313304721	9.68412017167382
01004	51.22352941176471	30.488235294117647	62.93529411764706	6.576470588235294
01005	50.57377490783428	29.479946740142694	65.38109275065612	5.031979003917524
01006	50.9360701842757	29.67720270326995	63.994878898543426	6.248163539436679
01007	51.017099827432936	30.858128954661925	62.62267078038662	6.23856089525702
01008	52.55443886097152	31.752512562814072	61.118090452261306	7.1293969849246235
01009	50.57149210584834	30.500333555703804	62.29486324216144	6.964643095396931
01010	49.906488275068334	29.96691123579341	63.35299477293435	6.6752985181988205
01011	50.47341000370986	32.51286352565447	63.56436601771053	3.7195348162007837
02001	50.134405270759586	23.36015430130665	68.61090519076986	7.935882038814169
02002	49.58544168749619	22.32508916051942	69.9263282631226	7.676473053709687
02003	47.31648838067134	23.66008852821837	69.1340833640723	6.986351899668019
02004	49.61100595415503	23.36237329800476	70.73392620010267	5.58672119917421
02005	49.25841279848688	23.111356292852076	68.87934431397274	7.510442115217905
02006	49.15453184540011	30.73285247686445	64.97601388132826	4.219685628742515
03001	49.5980608318155	24.39298284055272	66.71916298051245	8.831705947604114
03002	48.344319140295525	26.551810315204147	66.31001843116428	6.966355315360345
03003	50.10864320885844	21.967143556174527	69.47382468579015	8.249698023206873
03008	48.46530014724688	26.633457795398037	69.10179401955507	3.4772479358379544
03009	48.720363394637715	25.10525149567915	67.64901395967206	7.123864391757146
04001	50.75297136682874	26.038290113452188	64.83995137763371	8.966437061048081
04002	51.86464769431135	22.807291967749943	68.4113344464205	8.602168819730887
04003	50.554361148506096	24.496373244389076	67.95595651911833	6.161265044505616
04004	50.070359472943586	28.597927593706025	63.947806063707304	7.392861711654088
04005	50.76918256728389	26.79136510323652	65.04057398878341	8.168060907980074
04006	49.38775510204081	31.00854295206455	61.36212624584718	7.486948267679165
04007	49.061384314177126	28.123920304042382	61.94863526430957	9.927444431648048
04008	49.38002095703807	27.244149493538245	64.66992665036675	8.085923856095006
