CVEGEO	mun_derechohabientes_PAFIL_IPRIV	mun_beds_PAFIL_IPRIV	mun_clinics_PAFIL_IPRIV	mun_derechohabientes_PAFIL_PDOM	mun_beds_PAFIL_PDOM	mun_clinics_PAFIL_PDOM	mun_derechohabientes_PDER_IMSS	mun_beds_PDER_IMSS	mun_clinics_PDER_IMSS	mun_derechohabientes_PDER_IMSSB	mun_beds_PDER_IMSSB	mun_clinics_PDER_IMSSB	mun_derechohabientes_PDER_ISTE	mun_beds_PDER_ISTE	mun_clinics_PDER_ISTE	mun_derechohabientes_PDER_SEGP	mun_beds_PDER_SEGP	mun_clinics_PDER_SEGP	vecino_derechohabientes_PAFIL_IPRIV	vecino_beds_PAFIL_IPRIV	vecino_clinics_PAFIL_IPRIV	vecino_derechohabientes_PAFIL_PDOM	vecino_beds_PAFIL_PDOM	vecino_clinics_PAFIL_PDOM	vecino_derechohabientes_PDER_IMSS	vecino_beds_PDER_IMSS	vecino_clinics_PDER_IMSS	vecino_derechohabientes_PDER_IMSSB	vecino_beds_PDER_IMSSB	vecino_clinics_PDER_IMSSB	vecino_derechohabientes_PDER_ISTE	vecino_beds_PDER_ISTE	vecino_clinics_PDER_ISTE	vecino_derechohabientes_PDER_SEGP	vecino_beds_PDER_SEGP	vecino_clinics_PDER_SEGP	full_derechohabientes_PAFIL_IPRIV	full_beds_PAFIL_IPRIV	full_clinics_PAFIL_IPRIV	full_derechohabientes_PAFIL_PDOM	full_beds_PAFIL_PDOM	full_clinics_PAFIL_PDOM	full_derechohabientes_PDER_IMSS	full_beds_PDER_IMSS	full_clinics_PDER_IMSS	full_derechohabientes_PDER_IMSSB	full_beds_PDER_IMSSB	full_clinics_PDER_IMSSB	full_derechohabientes_PDER_ISTE	full_beds_PDER_ISTE	full_clinics_PDER_ISTE	full_derechohabientes_PDER_SEGP	full_beds_PDER_SEGP	full_clinics_PDER_SEGP	mun.contrib_derechohabientes_PAFIL_IPRIV	mun.contrib_beds_PAFIL_IPRIV	mun.contrib_clinics_PAFIL_IPRIV	mun.contrib_derechohabientes_PAFIL_PDOM	mun.contrib_beds_PAFIL_PDOM	mun.contrib_clinics_PAFIL_PDOM	mun.contrib_derechohabientes_PDER_IMSS	mun.contrib_beds_PDER_IMSS	mun.contrib_clinics_PDER_IMSS	mun.contrib_derechohabientes_PDER_IMSSB	mun.contrib_beds_PDER_IMSSB	mun.contrib_clinics_PDER_IMSSB	mun.contrib_derechohabientes_PDER_ISTE	mun.contrib_beds_PDER_ISTE	mun.contrib_clinics_PDER_ISTE	mun.contrib_derechohabientes_PDER_SEGP	mun.contrib_beds_PDER_SEGP	mun.contrib_clinics_PDER_SEGP
01001	25703	0	0	2563	30	2	575318	328	258	1064	0	0	65237	82	53	120974	0	0	9314	0	0	636	0	0	269341	369	357	1113	0	2	21760	1	18	161077	0	0	35017	0	0	3199	30	2	844659	697	615	2177	0	2	86997	83	71	282051	0	0	73.40149070451496	NA	NA	80.1187871209753	100	100	68.1124572164625	47.05882352941177	41.951219512195124	48.87459807073955	NA	0	74.98764325206616	98.79518072289157	74.64788732394366	42.89082470900653	NA	NA
01002	93	0	0	17	0	0	17762	0	2	24	0	0	1908	0	1	23997	0	0	26643	0	0	2695	30	2	673692	328	266	1541	0	7	82940	83	62	212310	0	0	26736	0	0	2712	30	2	691454	328	268	1565	0	7	84848	83	63	236307	0	0	0.3478456014362657	NA	NA	0.6268436578171092	0	0	2.568789825498153	0	0.746268656716418	1.5335463258785942	NA	0	2.248727135583632	0	1.5873015873015872	10.155010219756504	NA	NA
01003	217	0	0	332	0	0	10187	0	2	147	0	0	3139	0	1	32383	0	0	31656	0	0	2732	30	2	662854	625	562	2281	22	16	74307	82	57	181707	0	0	31873	0	0	3064	30	2	673041	625	564	2428	22	16	77446	82	58	214090	0	0	0.6808270322843786	NA	NA	10.835509138381202	0	0	1.5135779246732368	0	0.3546099290780142	6.0543657331136735	0	0	4.053146708674431	0	1.7241379310344827	15.125881638563222	NA	NA
01004	33	0	0	12	0	0	7252	0	0	13	0	0	1088	0	1	6439	0	0	288	0	0	81	0	0	28351	0	6	84	0	3	6875	0	5	31104	0	0	321	0	0	93	0	0	35603	0	6	97	0	3	7963	0	6	37543	0	0	10.280373831775702	NA	NA	12.903225806451612	NA	NA	20.369070022189142	NA	0	13.402061855670103	NA	0	13.663192264222026	NA	16.666666666666668	17.15100018645287	NA	NA
01005	4904	0	0	121	0	0	74274	297	301	144	0	0	5881	0	0	20031	0	0	26464	0	0	2961	30	2	646974	328	264	1358	0	0	75985	83	58	182323	0	0	31368	0	0	3082	30	2	721248	625	565	1502	0	0	81866	83	58	202354	0	0	15.63376689619995	NA	NA	3.926022063595068	0	0	10.297983495274856	47.52	53.27433628318584	9.587217043941411	NA	NA	7.183690420931766	0	0	9.898988900639473	NA	NA
01006	218	0	0	26	0	0	21796	0	4	59	0	0	5246	0	3	11841	0	0	5582	0	0	256	0	0	158589	297	307	312	0	0	16956	1	5	92602	0	0	5800	0	0	282	0	0	180385	297	311	371	0	0	22202	1	8	104443	0	0	3.7586206896551726	NA	NA	9.21985815602837	NA	NA	12.083044599052027	0	1.2861736334405145	15.902964959568733	NA	NA	23.628501936762454	0	37.5	11.337284451806248	NA	NA
01007	222	0	0	67	0	0	19942	0	4	47	0	0	5839	0	3	20270	0	0	430	0	0	79	0	0	47222	0	6	136	0	5	9384	0	7	51184	0	0	652	0	0	146	0	0	67164	0	10	183	0	5	15223	0	10	71454	0	0	34.04907975460123	NA	NA	45.89041095890411	NA	NA	29.69150139955929	NA	40	25.683060109289617	NA	0	38.356434342770804	NA	30	28.367901027234304	NA	NA
01008	38	0	0	4	0	0	1473	0	0	10	0	0	901	0	1	5886	0	0	5714	0	0	590	0	0	134592	297	311	1363	22	16	21460	0	9	104046	0	0	5752	0	0	594	0	0	136065	297	311	1373	22	16	22361	0	10	109932	0	0	0.6606397774687065	NA	NA	0.6734006734006734	NA	NA	1.0825708301179584	0	0	0.7283321194464676	0	0	4.029336791735611	NA	10	5.354218971727978	NA	NA
01009	37	0	0	11	0	0	6938	0	0	9	0	0	965	0	0	11179	0	0	811	0	0	139	0	0	74345	0	15	187	0	4	19456	0	11	86678	0	0	848	0	0	150	0	0	81283	0	15	196	0	4	20421	0	11	97857	0	0	4.363207547169812	NA	NA	7.333333333333333	NA	NA	8.535610152184343	NA	0	4.591836734693878	NA	0	4.725527643112482	NA	0	11.4238122975362	NA	NA
01010	36	0	0	7	0	0	7383	0	0	85	0	0	1105	0	0	7757	0	0	27334	0	0	2706	30	2	697723	400	305	1490	0	1	73810	82	67	185405	0	0	27370	0	0	2713	30	2	705106	400	305	1575	0	1	74915	82	67	193162	0	0	0.13153087321885276	NA	NA	0.2580169553999263	0	0	1.0470766097579656	0	0	5.396825396825397	NA	0	1.4750050056730961	0	0	4.015800209150868	NA	NA
